ModalityID:ReaderID,Number of points,Axises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI_Standalone: AI,55,FPF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.022988505747126436,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.04597701149425287,0.05747126436781609,0.06896551724137931,0.06896551724137931,0.08045977011494253,0.09195402298850575,0.10344827586206896,0.11494252873563218,0.12643678160919541,0.14942528735632185,0.16091954022988506,0.1839080459770115,0.1839080459770115,0.19540229885057472,0.19540229885057472,0.20689655172413793,0.21839080459770116,0.22988505747126436,0.2413793103448276,0.26436781609195403,0.27586206896551724,0.28735632183908044,0.2988505747126437,0.3103448275862069,0.3218390804597701,0.3333333333333333,0.3448275862068966,0.3563218390804598,0.367816091954023,0.3793103448275862,0.3793103448275862,0.39080459770114945,0.42528735632183906,0.47126436781609193,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI_Standalone: AI,55,TPF,0.0,0.16129032258064516,0.3978494623655914,0.5053763440860215,0.5698924731182796,0.6021505376344086,0.6559139784946236,0.6989247311827957,0.7204301075268817,0.7419354838709677,0.7419354838709677,0.7741935483870968,0.7956989247311828,0.8064516129032258,0.8387096774193549,0.8494623655913979,0.8602150537634409,0.8709677419354839,0.8817204301075269,0.8924731182795699,0.8924731182795699,0.8924731182795699,0.8924731182795699,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9139784946236559,0.9247311827956989,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.956989247311828,0.967741935483871,0.967741935483871,0.967741935483871,0.978494623655914,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI_Standalone: Vertical Average,101,FPF,0.0,0.01,0.02,0.03,0.04,0.05,0.060000000000000005,0.07,0.08,0.09,0.09999999999999999,0.10999999999999999,0.11999999999999998,0.12999999999999998,0.13999999999999999,0.15,0.16,0.17,0.18000000000000002,0.19000000000000003,0.20000000000000004,0.21000000000000005,0.22000000000000006,0.23000000000000007,0.24000000000000007,0.25000000000000006,0.26000000000000006,0.2700000000000001,0.2800000000000001,0.2900000000000001,0.3000000000000001,0.3100000000000001,0.3200000000000001,0.3300000000000001,0.34000000000000014,0.35000000000000014,0.36000000000000015,0.37000000000000016,0.38000000000000017,0.3900000000000002,0.4000000000000002,0.4100000000000002,0.4200000000000002,0.4300000000000002,0.4400000000000002,0.45000000000000023,0.46000000000000024,0.47000000000000025,0.48000000000000026,0.49000000000000027,0.5000000000000002,0.5100000000000002,0.5200000000000002,0.5300000000000002,0.5400000000000003,0.5500000000000003,0.5600000000000003,0.5700000000000003,0.5800000000000003,0.5900000000000003,0.6000000000000003,0.6100000000000003,0.6200000000000003,0.6300000000000003,0.6400000000000003,0.6500000000000004,0.6600000000000004,0.6700000000000004,0.6800000000000004,0.6900000000000004,0.7000000000000004,0.7100000000000004,0.7200000000000004,0.7300000000000004,0.7400000000000004,0.7500000000000004,0.7600000000000005,0.7700000000000005,0.7800000000000005,0.7900000000000005,0.8000000000000005,0.8100000000000005,0.8200000000000005,0.8300000000000005,0.8400000000000005,0.8500000000000005,0.8600000000000005,0.8700000000000006,0.8800000000000006,0.8900000000000006,0.9000000000000006,0.9100000000000006,0.9200000000000006,0.9300000000000006,0.9400000000000006,0.9500000000000006,0.9600000000000006,0.9700000000000006,0.9800000000000006,0.9900000000000007,1.0000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI_Standalone: Vertical Average,101,TPF,0.0,0.7626344086021506,0.8448387096774194,0.8733333333333333,0.8868817204301075,0.8924731182795699,0.8936559139784946,0.8983333333333333,0.903010752688172,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9053494623655913,0.9076881720430108,0.9228494623655914,0.9397849462365593,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.9493010752688175,0.9626881720430109,0.9673655913978496,0.967741935483871,0.967741935483871,0.967741935483871,0.9688440860215055,0.9711827956989249,0.9735215053763442,0.9758602150537635,0.9781989247311829,0.9788499298737728,0.9792566619915849,0.979663394109397,0.980070126227209,0.9804768583450211,0.9808835904628331,0.9812903225806452,0.9816970546984572,0.9821037868162693,0.9825105189340815,0.9829172510518935,0.9833239831697056,0.9837307152875177,0.9841374474053297,0.9845441795231418,0.9849509116409538,0.9853576437587659,0.985764375876578,0.98617110799439,0.9865778401122021,0.9869845722300141,0.9873913043478262,0.9877980364656382,0.9882047685834503,0.9886115007012624,0.9890182328190744,0.9894249649368865,0.9898316970546985,0.9902384291725106,0.9906451612903227,0.9910518934081347,0.9914586255259468,0.9918653576437588,0.9922720897615709,0.9926788218793829,0.993085553997195,0.9934922861150071,0.9938990182328191,0.9943057503506312,0.9947124824684432,0.9951192145862553,0.9955259467040674,0.9959326788218794,0.9963394109396915,0.9967461430575035,0.9971528751753156,0.9975596072931276,0.9979663394109398,0.9983730715287519,0.9987798036465639,0.999186535764376,0.999593267882188,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI_Standalone: Horizontal Average,101,FPF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7972831765936126E-4,5.684430512016812E-4,9.571577847440012E-4,0.001345872518286321,0.0017345872518286412,0.0021233019853709612,0.002512016718913281,0.002900731452455601,0.003289446185997921,0.003678160919540241,0.004066875653082561,0.004455590386624881,0.004844305120167201,0.005233019853709521,0.005621734587251841,0.0060104493207941605,0.006399164054336481,0.006787878787878801,0.007176593521421121,0.007565308254963441,0.007954022988505761,0.00834273772204808,0.008731452455590401,0.00912016718913272,0.00950888192267504,0.009897596656217362,0.01028631138975968,0.010675026123302001,0.01106374085684432,0.011452455590386641,0.013228840125391933,0.015172413793103535,0.01711598746081514,0.01905956112852674,0.021003134796238342,0.022946708463949944,0.028218390804597992,0.0335632183908049,0.04333333333333395,0.07356321839080587,0.18450574712643705,0.18878160919540254,0.19305747126436806,0.20022988505747186,0.37049808429118813,0.37762452107279737,0.4349425287356348,0.5082758620689798,0.7541379310344976,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI_Standalone: Horizontal Average,101,TPF,0.0,0.01,0.02,0.03,0.04,0.05,0.060000000000000005,0.07,0.08,0.09,0.09999999999999999,0.10999999999999999,0.11999999999999998,0.12999999999999998,0.13999999999999999,0.15,0.16,0.17,0.18000000000000002,0.19000000000000003,0.20000000000000004,0.21000000000000005,0.22000000000000006,0.23000000000000007,0.24000000000000007,0.25000000000000006,0.26000000000000006,0.2700000000000001,0.2800000000000001,0.2900000000000001,0.3000000000000001,0.3100000000000001,0.3200000000000001,0.3300000000000001,0.34000000000000014,0.35000000000000014,0.36000000000000015,0.37000000000000016,0.38000000000000017,0.3900000000000002,0.4000000000000002,0.4100000000000002,0.4200000000000002,0.4300000000000002,0.4400000000000002,0.45000000000000023,0.46000000000000024,0.47000000000000025,0.48000000000000026,0.49000000000000027,0.5000000000000002,0.5100000000000002,0.5200000000000002,0.5300000000000002,0.5400000000000003,0.5500000000000003,0.5600000000000003,0.5700000000000003,0.5800000000000003,0.5900000000000003,0.6000000000000003,0.6100000000000003,0.6200000000000003,0.6300000000000003,0.6400000000000003,0.6500000000000004,0.6600000000000004,0.6700000000000004,0.6800000000000004,0.6900000000000004,0.7000000000000004,0.7100000000000004,0.7200000000000004,0.7300000000000004,0.7400000000000004,0.7500000000000004,0.7600000000000005,0.7700000000000005,0.7800000000000005,0.7900000000000005,0.8000000000000005,0.8100000000000005,0.8200000000000005,0.8300000000000005,0.8400000000000005,0.8500000000000005,0.8600000000000005,0.8700000000000006,0.8800000000000006,0.8900000000000006,0.9000000000000006,0.9100000000000006,0.9200000000000006,0.9300000000000006,0.9400000000000006,0.9500000000000006,0.9600000000000006,0.9700000000000006,0.9800000000000006,0.9900000000000007,1.0000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI_Standalone: Diagonal Average,143,FPF,0.0,1.734723475976807E-18,3.469446951953614E-18,3.469446951953614E-18,6.938893903907228E-18,6.938893903907228E-18,6.938893903907228E-18,6.938893903907228E-18,1.3877787807814457E-17,0.0,1.3877787807814457E-17,1.3877787807814457E-17,1.3877787807814457E-17,1.3877787807814457E-17,1.3877787807814457E-17,1.3877787807814457E-17,2.7755575615628914E-17,1.3877787807814457E-17,2.7755575615628914E-17,2.7755575615628914E-17,0.0,2.7755575615628914E-17,2.7755575615628914E-17,2.7755575615628914E-17,2.7755575615628914E-17,2.7755575615628914E-17,2.7755575615628914E-17,2.7755575615628914E-17,2.7755575615628914E-17,2.7755575615628914E-17,2.7755575615628914E-17,2.7755575615628914E-17,2.7755575615628914E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,0.0,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,5.551115123125783E-17,0.007597704186773135,0.01149425287356326,0.011494252873563315,0.01149425287356326,0.011494252873563315,0.01149425287356326,0.01149425287356326,0.011494252873563315,0.012379641074587444,0.019686411146848493,0.02699318121910943,0.03429995129137042,0.03448275862068961,0.040907832886673545,0.055049968510404446,0.06896551724137939,0.07258155158582347,0.08672368720955437,0.10086582283328527,0.11500795845701633,0.12915009408074724,0.1432922297044783,0.15743436532820937,0.17157650095194021,0.1839080459770115,0.18659473230302448,0.19390150237528547,0.19540229885057486,0.1992764263824227,0.21341856200615383,0.22756069762988484,0.2417028332536158,0.2558449688773467,0.2699871045010776,0.2841292401248085,0.29827137574853974,0.3124135113722706,0.32655564699600154,0.3406977826197325,0.3548399182434635,0.3684185056091616,0.3757252756814226,0.37931034482758624,0.38990308439430127,0.40404522001803234,0.41818735564176324,0.43099470751800395,0.44245630763135463,0.4539179077447052,0.46537950785805576,0.4778764124948492,0.49146582314137227,0.5050552337878955,0.5186446444344186,0.5322340550809418,0.545823465727465,0.5594128763739881,0.5730022870205111,0.5865916976670343,0.6001811083135575,0.6137705189600806,0.6273599296066039,0.6409493402531269,0.6545387508996501,0.6681281615461734,0.6817175721926965,0.6953069828392195,0.7088963934857428,0.7224858041322659,0.736075214778789,0.7496646254253122,0.7632540360718354,0.7768434467183586,0.7904328573648816,0.8040222680114048,0.8176116786579279,0.8312010893044511,0.8447904999509743,0.8583799105974974,0.8719693212440205,0.8855587318905437,0.8991481425370669,0.9127375531835901,0.9263269638301131,0.9399163744766362,0.9535057851231594,0.9670951957696826,0.9806846064162058,0.9942740170627289,1.0,
AI_Standalone: Diagonal Average,143,TPF,0.0,0.01414213562373095,0.0282842712474619,0.042426406871192854,0.0565685424949238,0.07071067811865475,0.08485281374238571,0.09899494936611666,0.1131370849898476,0.12727922061357855,0.1414213562373095,0.15556349186104046,0.16970562748477136,0.18384776310850232,0.19798989873223327,0.21213203435596423,0.2262741699796952,0.2404163056034262,0.2545584412271571,0.2687005768508881,0.28284271247461906,0.29698484809835,0.31112698372208103,0.32526911934581193,0.33941125496954294,0.35355339059327384,0.36769552621700485,0.38183766184073575,0.39597979746446677,0.41012193308819767,0.4242640687119287,0.4384062043356596,0.4525483399593906,0.46669047558312154,0.4808326112068525,0.49497474683058346,0.5091168824543144,0.5232590180780454,0.5374011537017764,0.5515432893255072,0.5656854249492382,0.5798275605729692,0.5939696961967003,0.6081118318204313,0.6222539674441621,0.6363961030678931,0.6505382386916241,0.6646803743153551,0.6788225099390859,0.6929646455628169,0.7071067811865479,0.7212489168102787,0.7353910524340097,0.7419354838709676,0.7521810708079084,0.7663232064316394,0.7804653420553704,0.7946074776791014,0.8087496133028322,0.8228917489265632,0.8370338845502943,0.850290631973001,0.8571259975244709,0.863961363075941,0.870796728627411,0.8847560569218227,0.8924731182795698,0.8924731182795698,0.8926997051723258,0.9032258064516128,0.9032258064516128,0.9032258064516129,0.9032258064516128,0.9032258064516128,0.9032258064516128,0.9032258064516127,0.9032258064516128,0.9050363970502724,0.9164918463479903,0.9233272118994604,0.935968551047902,0.946236559139785,0.9462365591397848,0.9462365591397848,0.9462365591397849,0.9462365591397849,0.9462365591397849,0.946236559139785,0.9462365591397848,0.946236559139785,0.9462365591397848,0.9462365591397848,0.9462365591397848,0.9468001073978177,0.9536354729492877,0.9641925394268549,0.9677419354838709,0.9677419354838708,0.967741935483871,0.969076719231361,0.9717572547417413,0.9744377902521217,0.9771183257625022,0.9787635567494398,0.9793162817266475,0.9798690067038553,0.9804217316810632,0.980974456658271,0.9815271816354787,0.9820799066126865,0.9826326315898944,0.9831853565671023,0.9837380815443101,0.9842908065215178,0.9848435314987256,0.9853962564759335,0.9859489814531414,0.9865017064303491,0.9870544314075569,0.9876071563847646,0.9881598813619725,0.9887126063391805,0.9892653313163882,0.989818056293596,0.9903707812708038,0.9909235062480115,0.9914762312252194,0.9920289562024271,0.992581681179635,0.9931344061568428,0.9936871311340506,0.9942398561112584,0.9947925810884662,0.9953453060656741,0.9958980310428819,0.9964507560200896,0.9970034809972975,0.9975562059745053,0.9981089309517132,0.998661655928921,0.9992143809061287,0.9997671058833365,1.0,
AI_Standalone: Pooled Average,55,FPF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.022988505747126436,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.04597701149425287,0.05747126436781609,0.06896551724137931,0.06896551724137931,0.08045977011494253,0.09195402298850575,0.10344827586206896,0.11494252873563218,0.12643678160919541,0.14942528735632185,0.16091954022988506,0.1839080459770115,0.1839080459770115,0.19540229885057472,0.19540229885057472,0.20689655172413793,0.21839080459770116,0.22988505747126436,0.2413793103448276,0.26436781609195403,0.27586206896551724,0.28735632183908044,0.2988505747126437,0.3103448275862069,0.3218390804597701,0.3333333333333333,0.3448275862068966,0.3563218390804598,0.367816091954023,0.3793103448275862,0.3793103448275862,0.39080459770114945,0.42528735632183906,0.47126436781609193,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI_Standalone: Pooled Average,55,TPF,0.0,0.16129032258064516,0.3978494623655914,0.5053763440860215,0.5698924731182796,0.6021505376344086,0.6559139784946236,0.6989247311827957,0.7204301075268817,0.7419354838709677,0.7419354838709677,0.7741935483870968,0.7956989247311828,0.8064516129032258,0.8387096774193549,0.8494623655913979,0.8602150537634409,0.8709677419354839,0.8817204301075269,0.8924731182795699,0.8924731182795699,0.8924731182795699,0.8924731182795699,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9139784946236559,0.9247311827956989,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.956989247311828,0.967741935483871,0.967741935483871,0.967741935483871,0.978494623655914,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aided: Reader1,10,FPF,0.0,0.011494252873563218,0.011494252873563218,0.034482758620689655,0.08045977011494253,0.11494252873563218,0.27586206896551724,0.5632183908045977,0.6551724137931034,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aided: Reader1,10,TPF,0.0,0.45161290322580644,0.46236559139784944,0.8279569892473119,0.8494623655913979,0.8709677419354839,0.9139784946236559,0.956989247311828,0.967741935483871,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
